Date,Open,High,Low,Close,Adj Close,Volume
2014-09-29,10.620000,10.740000,10.610000,10.710000,9.922544,12300
2014-09-30,10.260000,10.320000,10.210000,10.300000,9.542690,20300
2014-10-01,10.070000,10.070000,10.000000,10.050000,9.311070,24400
2014-10-02,10.020000,10.020000,9.850000,9.920000,9.190628,29100
2014-10-03,9.920000,9.950000,9.870000,9.940000,9.209157,24400
2014-10-06,9.880000,9.880000,9.770000,9.850000,9.125776,32400
2014-10-07,9.970000,9.970000,9.850000,9.850000,9.125776,11900
2014-10-08,9.700000,9.900000,9.670000,9.880000,9.153569,37700
2014-10-09,9.900000,9.900000,9.600000,9.610000,8.903421,19700
2014-10-10,9.250000,9.250000,8.970000,8.970000,8.310478,31900
2014-10-13,8.870000,8.900000,8.730000,8.800000,8.152977,43300
2014-10-14,8.920000,9.100000,8.920000,9.000000,8.338271,49500
2014-10-15,8.830000,8.950000,8.740000,8.910000,8.254889,20900
2014-10-16,8.800000,9.080000,8.800000,9.010000,8.347537,49800
2014-10-17,9.230000,9.300000,9.160000,9.180000,8.505037,30700
2014-10-20,8.990000,9.150000,8.990000,9.140000,8.467979,19900
2014-10-21,9.220000,9.320000,9.200000,9.300000,8.616214,45700
2014-10-22,9.380000,9.380000,9.240000,9.240000,8.560626,24500
2014-10-23,9.480000,9.570000,9.480000,9.530000,8.829303,32800
2014-10-24,9.490000,9.700000,9.490000,9.680000,8.968275,533000
2014-10-27,9.250000,9.410000,9.250000,9.370000,8.681067,246400
2014-10-28,9.410000,9.530000,9.400000,9.520000,8.820039,46800
2014-10-29,9.390000,9.390000,9.200000,9.270000,8.588421,24200
2014-10-30,9.200000,9.260000,9.090000,9.260000,8.579156,49500
2014-10-31,9.600000,9.800000,9.540000,9.780000,9.060922,69000
2014-11-03,9.750000,9.790000,9.720000,9.750000,9.033129,18200
2014-11-04,9.680000,9.680000,9.600000,9.630000,8.921951,20200
2014-11-05,9.760000,9.760000,9.650000,9.700000,8.986804,20200
2014-11-06,9.700000,9.700000,9.600000,9.670000,8.959009,10600
2014-11-07,9.490000,9.500000,9.390000,9.460000,8.764450,11200
2014-11-10,9.520000,9.590000,9.480000,9.580000,8.875627,45500
2014-11-11,9.490000,9.610000,9.480000,9.610000,8.903421,31400
2014-11-12,9.490000,9.500000,9.460000,9.500000,8.801510,14300
2014-11-13,9.510000,9.560000,9.430000,9.520000,8.820039,28500
2014-11-14,9.430000,9.560000,9.430000,9.500000,8.801510,14200
2014-11-17,9.500000,9.550000,9.500000,9.550000,8.847834,15000
2014-11-18,9.640000,9.780000,9.630000,9.730000,9.014598,19100
2014-11-19,9.910000,9.930000,9.840000,9.870000,9.144304,24900
2014-11-20,9.880000,9.990000,9.880000,9.990000,9.255482,19600
2014-11-21,10.110000,10.110000,10.040000,10.060000,9.320335,26700
2014-11-24,10.080000,10.130000,10.050000,10.110000,9.366659,20200
2014-11-25,10.050000,10.090000,10.030000,10.080000,9.338864,17700
2014-11-26,10.050000,10.130000,10.050000,10.100000,9.357395,10200
2014-11-28,9.800000,9.860000,9.770000,9.820000,9.097981,289500
2014-12-01,9.920000,9.920000,9.800000,9.890000,9.162835,497400
2014-12-02,9.860000,9.880000,9.800000,9.880000,9.153569,1507100
2014-12-03,10.050000,10.140000,10.050000,10.130000,9.385188,946500
2014-12-04,10.350000,10.560000,10.350000,10.510000,9.737248,2016400
2014-12-05,10.400000,10.570000,10.350000,10.540000,9.765042,1695800
2014-12-08,10.540000,10.570000,10.470000,10.520000,9.746513,266900
2014-12-09,10.560000,10.560000,10.360000,10.480000,9.709455,295700
2014-12-10,10.590000,10.610000,10.480000,10.490000,9.718719,75600
2014-12-11,10.540000,10.590000,10.450000,10.470000,9.700189,45700
2014-12-12,10.530000,10.560000,10.360000,10.360000,9.598277,49700
2014-12-15,10.510000,10.560000,10.210000,10.310000,9.551954,97200
2014-12-16,10.180000,10.420000,10.180000,10.280000,9.524158,98400
2014-12-17,10.390000,10.550000,10.380000,10.460000,9.690925,148800
2014-12-18,10.560000,10.600000,10.500000,10.580000,9.802101,105200
2014-12-19,10.530000,10.610000,10.510000,10.580000,9.802101,60000
2014-12-22,10.590000,10.670000,10.570000,10.670000,9.885486,61500
2014-12-23,10.650000,10.690000,10.610000,10.650000,9.866955,78800
2014-12-24,10.580000,10.700000,10.580000,10.700000,9.913278,51300
2014-12-26,10.650000,10.740000,10.620000,10.700000,9.913278,64100
2014-12-29,10.700000,10.720000,10.640000,10.680000,9.894750,70300
2014-12-30,10.700000,10.760000,10.670000,10.760000,9.968866,199800
2014-12-31,10.770000,10.780000,10.650000,10.650000,9.866955,64800
2015-01-02,10.750000,10.800000,10.650000,10.690000,9.904014,54400
2015-01-05,10.530000,10.560000,10.370000,10.450000,9.681660,1238000
2015-01-06,10.240000,10.290000,10.130000,10.130000,9.385188,345600
2015-01-07,10.290000,10.340000,10.190000,10.320000,9.561218,115900
2015-01-08,10.360000,10.560000,10.360000,10.520000,9.746513,115200
2015-01-09,10.560000,10.560000,10.360000,10.500000,9.727983,134600
2015-01-12,10.580000,10.580000,10.420000,10.520000,9.746513,98000
2015-01-13,10.530000,10.620000,10.470000,10.510000,9.737248,269700
2015-01-14,10.540000,10.700000,10.520000,10.670000,9.885486,247600
2015-01-15,10.590000,10.610000,10.490000,10.510000,9.737248,162900
2015-01-16,10.440000,10.650000,10.430000,10.610000,9.829896,55400
2015-01-20,10.770000,10.860000,10.750000,10.840000,10.042985,168900
2015-01-21,10.720000,10.860000,10.660000,10.850000,10.052250,137300
2015-01-22,10.700000,10.740000,10.600000,10.730000,9.941073,85800
2015-01-23,10.730000,10.800000,10.700000,10.720000,9.931809,54600
2015-01-26,10.990000,11.120000,10.950000,11.070000,10.256073,149400
2015-01-27,10.990000,11.000000,10.880000,10.950000,10.144897,51900
2015-01-28,11.080000,11.250000,11.050000,11.050000,10.237544,49600
2015-01-29,11.400000,11.450000,11.310000,11.440000,10.598869,70300
2015-01-30,11.320000,11.380000,11.280000,11.290000,10.459899,47200
2015-02-02,11.220000,11.280000,11.140000,11.280000,10.450635,80100
2015-02-03,11.510000,11.630000,11.510000,11.610000,10.756371,218100
2015-02-04,11.450000,11.540000,11.410000,11.440000,10.598869,74800
2015-02-05,11.550000,11.640000,11.500000,11.640000,10.784164,36800
2015-02-06,11.410000,11.490000,11.360000,11.390000,10.552547,41700
2015-02-09,11.130000,11.190000,11.110000,11.120000,10.302398,80500
